
generation: 100, power_min: 33.40021, power_avg: 43.87639, power_max: 55.45961, util_min: 1.93189, util_avg: 2.2603, util_max: 2.39944
generation: 200, power_min: 32.64484, power_avg: 40.15495, power_max: 48.97506, util_min: 1.96569, util_avg: 2.21392, util_max: 2.39944
generation: 300, power_min: 30.67653, power_avg: 36.71725, power_max: 46.1752, util_min: 1.9451, util_avg: 2.1672, util_max: 2.37777
generation: 400, power_min: 27.8494, power_avg: 34.63327, power_max: 41.06655, util_min: 1.9451, util_avg: 2.1294, util_max: 2.25836
generation: 500, power_min: 27.8494, power_avg: 32.67371, power_max: 38.09903, util_min: 1.95485, util_avg: 2.10683, util_max: 2.24333
generation: 600, power_min: 27.83348, power_avg: 31.36301, power_max: 35.62881, util_min: 1.91561, util_avg: 2.06808, util_max: 2.22906
generation: 700, power_min: 27.37648, power_avg: 29.89639, power_max: 32.48669, util_min: 1.90366, util_avg: 2.0334, util_max: 2.18661
generation: 800, power_min: 27.37093, power_avg: 29.23719, power_max: 31.82762, util_min: 1.88139, util_avg: 1.99306, util_max: 2.11495
generation: 900, power_min: 27.41105, power_avg: 28.62878, power_max: 29.49759, util_min: 1.86369, util_avg: 1.96543, util_max: 2.06898
generation: 1000, power_min: 27.14879, power_avg: 28.03737, power_max: 28.46976, util_min: 1.88384, util_avg: 1.95965, util_max: 2.0141
generation: 1100, power_min: 27.1319, power_avg: 27.58885, power_max: 27.78692, util_min: 1.92753, util_avg: 1.95704, util_max: 2.00965
generation: 1200, power_min: 26.29678, power_avg: 27.20253, power_max: 27.41105, util_min: 1.92753, util_avg: 1.97734, util_max: 2.03825
generation: 1300, power_min: 26.58537, power_avg: 27.0473, power_max: 27.14879, util_min: 1.96153, util_avg: 1.98043, util_max: 2.01562
generation: 1400, power_min: 26.47933, power_avg: 26.85749, power_max: 27.08042, util_min: 1.97934, util_avg: 1.99896, util_max: 2.01562
generation: 1500, power_min: 26.32707, power_avg: 26.73799, power_max: 26.9266, util_min: 1.97934, util_avg: 1.9999, util_max: 2.01951
generation: 1600, power_min: 26.46901, power_avg: 26.75388, power_max: 26.81766, util_min: 1.97934, util_avg: 1.99374, util_max: 2.00835
generation: 1700, power_min: 26.46901, power_avg: 26.56362, power_max: 26.81024, util_min: 1.97207, util_avg: 2.00178, util_max: 2.00835
generation: 1800, power_min: 26.46901, power_avg: 26.57299, power_max: 26.67097, util_min: 1.97207, util_avg: 1.99132, util_max: 2.00835
generation: 1900, power_min: 26.51715, power_avg: 26.597, power_max: 26.67097, util_min: 1.97207, util_avg: 1.97768, util_max: 1.98323
generation: 2000, power_min: 26.51715, power_avg: 26.51715, power_max: 26.51715, util_min: 1.98323, util_avg: 1.98323, util_max: 1.98323
generation: 2100, power_min: 26.51715, power_avg: 26.51715, power_max: 26.51715, util_min: 1.98323, util_avg: 1.98323, util_max: 1.98323
generation: 2200, power_min: 26.51715, power_avg: 26.51715, power_max: 26.51715, util_min: 1.98323, util_avg: 1.98323, util_max: 1.98323
generation: 2300, power_min: 26.51715, power_avg: 26.51715, power_max: 26.51715, util_min: 1.98323, util_avg: 1.98323, util_max: 1.98323
generation: 2400, power_min: 26.51715, power_avg: 26.51715, power_max: 26.51715, util_min: 1.98323, util_avg: 1.98323, util_max: 1.98323
generation: 2500, power_min: 26.51715, power_avg: 26.51715, power_max: 26.51715, util_min: 1.98323, util_avg: 1.98323, util_max: 1.98323
generation: 2600, power_min: 26.51715, power_avg: 26.51715, power_max: 26.51715, util_min: 1.98323, util_avg: 1.98323, util_max: 1.98323
